panel,condition,repeat,n_problems,correct_delta,accuracy_delta_points,terminal_evidence
headline,Standard OPD 16 updates,0,512,1,0.1953125,REPRO_RESULT status=PASS
headline,Standard OPD 16 updates,1,512,17,3.3203125,REPRO_RESULT status=PASS
headline,Paper-formula Relay 16 updates,0,512,-3,-0.5859375,REPRO_RESULT status=PASS
headline,Paper-formula Relay 16 updates,1,512,13,2.5390625,REPRO_RESULT status=PASS
headline,"Released Relay K5 16 upd, 1536 tok",0,512,32,6.25,REPRO_RESULT status=PASS
headline,"Released Relay K5 16 upd, 1536 tok",1,512,20,3.90625,REPRO_RESULT status=PASS
headline,"Released Relay K5 16 upd, 1536 tok",2,512,8,1.5625,REPRO_RESULT status=PASS
headline,"Released Relay K5 16 upd, 1536 tok",3,512,8,1.5625,REPRO_RESULT status=PASS
headline,"Released Relay K5 16 upd, 1280 tok",0,512,27,5.2734375,REPRO_RESULT status=PASS
headline,"Released Relay K5 16 upd, 1280 tok",1,512,24,4.6875,REPRO_RESULT status=PASS
headline,"Released Relay K5 16 upd, 1280 tok",2,512,1,0.1953125,REPRO_RESULT status=PASS
headline,"Released Relay K5 16 upd, 1280 tok",3,512,17,3.3203125,REPRO_RESULT status=PASS
headline,"Released Relay K5 12 upd, 1024 tok",0,512,16,3.125,REPRO_RESULT status=PASS
headline,"Released Relay K5 12 upd, 1024 tok",1,512,11,2.1484375,REPRO_RESULT status=PASS
headline,"Released Relay K5 12 upd, 1024 tok",2,512,8,1.5625,REPRO_RESULT status=PASS
headline,"Released Relay K5 12 upd, 1024 tok",3,512,0,0.0,REPRO_RESULT status=PASS
headline,"Released Relay K5 12 upd, 1024 tok",4,512,3,0.5859375,REPRO_RESULT status=PASS
headline,"Released Relay K5 12 upd, 1024 tok",5,512,7,1.3671875,REPRO_RESULT status=PASS
response_budget,1024,0,512,14,2.734375,REPRO_RESULT status=PASS
response_budget,1024,1,512,23,4.4921875,REPRO_RESULT status=PASS
response_budget,1024,2,512,19,3.7109375,REPRO_RESULT status=PASS
response_budget,1024,3,512,-8,-1.5625,REPRO_RESULT status=PASS
response_budget,1280,0,512,27,5.2734375,REPRO_RESULT status=PASS
response_budget,1280,1,512,24,4.6875,REPRO_RESULT status=PASS
response_budget,1280,2,512,1,0.1953125,REPRO_RESULT status=PASS
response_budget,1280,3,512,17,3.3203125,REPRO_RESULT status=PASS
response_budget,1408,0,512,6,1.171875,REPRO_RESULT status=PASS
response_budget,1408,1,512,17,3.3203125,REPRO_RESULT status=PASS
response_budget,1536,0,512,32,6.25,REPRO_RESULT status=PASS
response_budget,1536,1,512,20,3.90625,REPRO_RESULT status=PASS
response_budget,1536,2,512,8,1.5625,REPRO_RESULT status=PASS
response_budget,1536,3,512,8,1.5625,REPRO_RESULT status=PASS
topk,3,0,512,7,1.3671875,REPRO_RESULT status=PASS
topk,3,1,512,28,5.46875,REPRO_RESULT status=PASS
topk,3,2,512,2,0.390625,REPRO_RESULT status=PASS
topk,3,3,512,12,2.34375,REPRO_RESULT status=PASS
topk,5,0,512,32,6.25,REPRO_RESULT status=PASS
topk,5,1,512,20,3.90625,REPRO_RESULT status=PASS
topk,5,2,512,8,1.5625,REPRO_RESULT status=PASS
topk,5,3,512,8,1.5625,REPRO_RESULT status=PASS
topk,7,0,512,6,1.171875,REPRO_RESULT status=PASS
topk,7,1,512,9,1.7578125,REPRO_RESULT status=PASS
topk,10,0,512,9,1.7578125,REPRO_RESULT status=PASS
topk,10,1,512,-1,-0.1953125,REPRO_RESULT status=PASS
update_horizon,8,0,512,11,2.1484375,REPRO_RESULT status=PASS
update_horizon,8,1,512,5,0.9765625,REPRO_RESULT status=PASS
update_horizon,12,0,512,16,3.125,REPRO_RESULT status=PASS
update_horizon,12,1,512,11,2.1484375,REPRO_RESULT status=PASS
update_horizon,12,2,512,8,1.5625,REPRO_RESULT status=PASS
update_horizon,12,3,512,0,0.0,REPRO_RESULT status=PASS
update_horizon,12,4,512,3,0.5859375,REPRO_RESULT status=PASS
update_horizon,12,5,512,7,1.3671875,REPRO_RESULT status=PASS
update_horizon,16,0,512,14,2.734375,REPRO_RESULT status=PASS
update_horizon,16,1,512,23,4.4921875,REPRO_RESULT status=PASS
update_horizon,16,2,512,19,3.7109375,REPRO_RESULT status=PASS
update_horizon,16,3,512,-8,-1.5625,REPRO_RESULT status=PASS
